brand,type,price,available,sold,target
183,28,26.15,52.0,1386.0,0
27,28,39.45,10.0,183.0,0
214,78,29.99,10.0,432.0,0
153,28,15.99,10.0,154.0,0
34,28,14.99,10.0,80.0,0
27,28,20.71,100.0,290.0,0
234,40,21.0,8.0,4.0,0
369,40,53.99,10.0,137.0,0
328,78,37.0,10.0,12.0,0
317,40,23.98,15.0,1678.0,0
190,25,11.99,10.0,58.0,0
102,28,28.99,3.0,379.0,0
145,28,25.95,10.0,3.0,0
335,28,6.99,500.0,170.0,0
64,28,25.56,10.0,460.0,0
35,28,53.99,6.0,12.0,0
355,28,103.99,2.0,45.0,0
145,28,72.72,5.0,27.0,0
211,28,49.99,6.0,10.0,0
35,28,59.99,4.0,23.0,0
86,28,12.99,10.0,52.0,0
48,40,27.99,10.0,57.0,0
337,40,15.89,6.0,135.0,0
357,28,54.9,72.0,1224.0,0
139,62,19.98,8.0,144.0,0
369,28,7.5,10.0,171.0,0
369,28,67.49,10.0,38.0,0
357,28,58.99,10.0,32.0,0
361,28,30.99,10.0,26.0,0
99,40,43.3,10.0,4845.0,0
211,28,32.99,10.0,65.0,0
103,28,20.0,6.0,24.0,0
136,39,22.97,24.0,591.0,0
78,32,66.69,8.0,6.0,0
369,28,44.99,6.0,5.0,0
185,39,31.14,25.0,2503.0,0
211,28,67.98,10.0,705.0,0
122,28,29.49,6.0,27.0,0
251,62,26.95,3.0,4.0,0
120,40,10.0,10.0,50.0,0
82,28,37.96,10.0,116.0,0
187,25,79.99,7.0,9.0,0
6,28,8.0,10.0,34.0,0
120,40,42.9,3.0,8.0,0
58,28,134.5,3.0,49.0,0
237,40,58.98,10.0,3088.0,0
58,28,9.89,5.0,258.0,0
68,40,24.0,10.0,0.0,0
82,28,34.33,10.0,767.0,0
357,65,54.51,3.0,20.0,0
82,28,48.99,10.0,7.0,0
26,28,30.49,6.0,18.0,0
144,28,38.69,10.0,3.0,0
295,78,49.99,10.0,35.0,0
64,28,10.35,10.0,182.0,0
103,28,20.0,4.0,47.0,0
148,28,21.9,7.0,4.0,0
211,28,42.99,10.0,17.0,0
361,28,29.9,6.0,9.0,0
293,78,22.45,5.0,2.0,0
285,78,25.46,10.0,58.0,0
211,28,37.99,10.0,77.0,0
279,75,24.0,10.0,9.0,0
348,78,55.88,10.0,2.0,0
328,28,13.95,7.0,22.0,0
202,28,100.0,10.0,12.0,0
308,28,12.49,5.0,10.0,0
95,40,74.99,8.0,28.0,0
115,28,13.44,3.0,30.0,0
26,28,35.99,9.0,49.0,0
211,28,44.99,5.0,14.0,0
303,28,44.99,7.0,3.0,0
187,78,73.99,7.0,52.0,0
271,28,34.85,10.0,545.0,0
26,28,38.99,9.0,23.0,0
90,25,25.99,3.0,17.0,0
165,28,47.66,10.0,119.0,0
165,40,58.08,10.0,278.0,0
363,28,108.99,9.0,11.0,0
187,25,59.99,5.0,36.0,0
102,28,29.99,6.0,26.0,0
